source_type,source_id,wind_bus,zone,E_to_plant_MWh,share_%
wind,85,85.0,3.0,11939.65709135086,19.070210167070396
wind,91,91.0,3.0,10572.561598167886,16.886663506225347
wind,104,104.0,3.0,10350.961375806775,16.532720107251418
wind,105,105.0,3.0,7133.9203083411185,11.394410957894982
wind,99,99.0,3.0,6839.159532501931,10.923614359529186
wind,110,110.0,3.0,5779.1436269150945,9.2305400990781
wind,90,90.0,3.0,5252.738693505666,8.389757768706774
wind,76,76.0,3.0,2530.7692410033305,4.042184875246725
wind,70,70.0,2.0,816.9073396960315,1.3047773931724465
wind,72,72.0,2.0,639.4733184915543,1.0213769530032748
wind,73,73.0,2.0,541.6348034654669,0.8651077210055521
wind,24,24.0,1.0,212.01647908443087,0.3386360918146713
thermal,78,,,0.0,0.0
thermal,80,,,0.0,0.0
thermal,77,,,0.0,0.0
thermal,79,,,0.0,0.0
thermal,76,,,0.0,0.0
thermal,75,,,0.0,0.0
thermal,74,,,0.0,0.0
wind,4,4.0,1.0,0.0,0.0
thermal,72,,,0.0,0.0
thermal,81,,,0.0,0.0
thermal,82,,,0.0,0.0
thermal,83,,,0.0,0.0
thermal,84,,,0.0,0.0
thermal,85,,,0.0,0.0
thermal,73,,,0.0,0.0
thermal,65,,,0.0,0.0
thermal,71,,,0.0,0.0
thermal,70,,,0.0,0.0
thermal,69,,,0.0,0.0
thermal,68,,,0.0,0.0
thermal,67,,,0.0,0.0
thermal,66,,,0.0,0.0
thermal,87,,,0.0,0.0
thermal,64,,,0.0,0.0
thermal,63,,,0.0,0.0
thermal,62,,,0.0,0.0
thermal,61,,,0.0,0.0
thermal,60,,,0.0,0.0
thermal,59,,,0.0,0.0
thermal,58,,,0.0,0.0
thermal,86,,,0.0,0.0
thermal,94,,,0.0,0.0
thermal,88,,,0.0,0.0
thermal,104,,,0.0,0.0
thermal,117,,,0.0,0.0
thermal,116,,,0.0,0.0
thermal,115,,,0.0,0.0
thermal,114,,,0.0,0.0
thermal,113,,,0.0,0.0
thermal,112,,,0.0,0.0
thermal,111,,,0.0,0.0
thermal,110,,,0.0,0.0
thermal,109,,,0.0,0.0
thermal,108,,,0.0,0.0
thermal,107,,,0.0,0.0
thermal,106,,,0.0,0.0
thermal,105,,,0.0,0.0
thermal,103,,,0.0,0.0
thermal,89,,,0.0,0.0
thermal,102,,,0.0,0.0
thermal,101,,,0.0,0.0
thermal,100,,,0.0,0.0
thermal,99,,,0.0,0.0
thermal,98,,,0.0,0.0
thermal,97,,,0.0,0.0
thermal,96,,,0.0,0.0
thermal,95,,,0.0,0.0
thermal,56,,,0.0,0.0
thermal,93,,,0.0,0.0
thermal,92,,,0.0,0.0
thermal,91,,,0.0,0.0
thermal,90,,,0.0,0.0
thermal,57,,,0.0,0.0
thermal,50,,,0.0,0.0
thermal,55,,,0.0,0.0
thermal,9,,,0.0,0.0
thermal,22,,,0.0,0.0
thermal,21,,,0.0,0.0
thermal,20,,,0.0,0.0
thermal,19,,,0.0,0.0
thermal,18,,,0.0,0.0
thermal,17,,,0.0,0.0
thermal,16,,,0.0,0.0
thermal,15,,,0.0,0.0
thermal,14,,,0.0,0.0
thermal,13,,,0.0,0.0
thermal,12,,,0.0,0.0
thermal,11,,,0.0,0.0
thermal,10,,,0.0,0.0
thermal,8,,,0.0,0.0
thermal,54,,,0.0,0.0
thermal,7,,,0.0,0.0
thermal,6,,,0.0,0.0
thermal,5,,,0.0,0.0
thermal,4,,,0.0,0.0
thermal,3,,,0.0,0.0
thermal,2,,,0.0,0.0
thermal,1,,,0.0,0.0
wind,113,113.0,1.0,0.0,0.0
wind,56,56.0,2.0,0.0,0.0
wind,42,42.0,2.0,0.0,0.0
wind,36,36.0,2.0,0.0,0.0
wind,32,32.0,1.0,0.0,0.0
wind,18,18.0,1.0,0.0,0.0
thermal,23,,,0.0,0.0
thermal,24,,,0.0,0.0
thermal,25,,,0.0,0.0
thermal,26,,,0.0,0.0
thermal,53,,,0.0,0.0
thermal,52,,,0.0,0.0
thermal,51,,,0.0,0.0
wind,8,8.0,1.0,0.0,0.0
thermal,49,,,0.0,0.0
thermal,48,,,0.0,0.0
thermal,47,,,0.0,0.0
thermal,46,,,0.0,0.0
thermal,45,,,0.0,0.0
thermal,44,,,0.0,0.0
thermal,43,,,0.0,0.0
thermal,42,,,0.0,0.0
thermal,41,,,0.0,0.0
thermal,40,,,0.0,0.0
thermal,39,,,0.0,0.0
thermal,38,,,0.0,0.0
thermal,37,,,0.0,0.0
thermal,36,,,0.0,0.0
thermal,35,,,0.0,0.0
thermal,34,,,0.0,0.0
thermal,33,,,0.0,0.0
thermal,32,,,0.0,0.0
thermal,31,,,0.0,0.0
thermal,30,,,0.0,0.0
thermal,29,,,0.0,0.0
thermal,28,,,0.0,0.0
thermal,27,,,0.0,0.0
thermal,118,,,0.0,0.0
